日期,策略,动作,价格,当日净值
2020-05-14,双均线 20/60,买入,61.52,97620.79
2020-09-22,双均线 20/60,卖出,97.7,152563.99
2020-10-15,双均线 20/60,买入,118.87,153447.93
2021-03-15,双均线 20/60,卖出,159.81,226913.94
2021-05-06,双均线 20/60,买入,199.65,224250.45
2021-09-02,双均线 20/60,卖出,260.61,289357.39
2021-10-20,双均线 20/60,买入,313.95,288709.46
2022-01-04,双均线 20/60,卖出,302.49,287562.67
2022-06-23,双均线 20/60,买入,284.76,305334.44
2022-09-02,双均线 20/60,卖出,245.48,263634.52
2022-12-23,双均线 20/60,买入,208.19,261109.02
2023-03-08,双均线 20/60,卖出,207.77,263349.85
2023-05-12,双均线 20/60,买入,226.19,260483.09
2023-06-14,双均线 20/60,卖出,201.61,231529.61
2023-07-12,双均线 20/60,买入,215.2,229222.64
2023-09-15,双均线 20/60,卖出,195.97,216095.5
2024-03-05,双均线 20/60,买入,152.86,217096.17
2024-06-25,双均线 20/60,卖出,179.56,255620.88
2024-09-12,双均线 20/60,买入,182.59,259510.73
2025-01-14,双均线 20/60,卖出,249.44,340875.64
2025-02-24,双均线 20/60,买入,265.96,335660.44
2025-04-01,双均线 20/60,卖出,243.52,311830.49
2025-05-22,双均线 20/60,买入,269.37,307500.48
2025-12-16,双均线 20/60,卖出,378.41,439497.1
2026-03-17,双均线 20/60,买入,405.0,435706.36
2020-02-10,动量 20日>5%,买入,78.0,103707.2
2020-03-02,动量 20日>5%,卖出,63.96,81742.51
2020-04-15,动量 20日>5%,买入,57.3,83199.46
2020-06-03,动量 20日>5%,卖出,68.69,100376.61
2020-06-05,动量 20日>5%,买入,70.31,101297.66
2020-08-07,动量 20日>5%,卖出,99.81,149367.66
2020-08-25,动量 20日>5%,买入,97.38,147564.51
2020-08-26,动量 20日>5%,卖出,94.31,147372.68
2020-09-18,动量 20日>5%,买入,96.33,147023.12
2020-09-21,动量 20日>5%,卖出,96.27,146831.99
2020-10-12,动量 20日>5%,买入,116.75,154060.91
2020-11-18,动量 20日>5%,卖出,119.92,165497.37
2020-11-23,动量 20日>5%,买入,126.87,166115.68
2020-11-26,动量 20日>5%,卖出,122.61,160969.94
2020-12-10,动量 20日>5%,买入,133.43,160129.35
2020-12-11,动量 20日>5%,卖出,134.4,159921.18
2020-12-14,动量 20日>5%,买入,134.09,159504.34
2020-12-15,动量 20日>5%,卖出,141.03,159296.98
2020-12-16,动量 20日>5%,买入,145.23,163993.2
2021-02-01,动量 20日>5%,卖出,180.94,206419.42
2021-02-18,动量 20日>5%,买入,206.87,198026.8
2021-02-22,动量 20日>5%,卖出,194.65,192721.64
2021-04-07,动量 20日>5%,买入,164.09,188954.76
2021-04-09,动量 20日>5%,卖出,159.65,188617.11
2021-04-15,动量 20日>5%,买入,173.53,183278.02
2021-04-16,动量 20日>5%,卖出,171.78,183039.76
2021-04-20,动量 20日>5%,买入,185.76,180295.52
2021-05-21,动量 20日>5%,卖出,194.96,190151.77
2021-05-25,动量 20日>5%,买入,206.05,194051.31
2021-05-27,动量 20日>5%,卖出,199.65,188513.19
2021-05-28,动量 20日>5%,买入,213.87,201883.42
2021-07-28,动量 20日>5%,卖出,278.14,246475.91
2021-07-30,动量 20日>5%,买入,292.22,243435.39
2021-08-04,动量 20日>5%,卖出,302.56,234158.58
2021-08-05,动量 20日>5%,买入,295.89,228926.26
2021-08-06,动量 20日>5%,卖出,288.6,228628.65
2021-08-25,动量 20日>5%,买入,281.02,231878.07
2021-08-26,动量 20日>5%,卖出,275.89,231576.63
2021-09-14,动量 20日>5%,买入,280.83,244620.36
2021-09-17,动量 20日>5%,卖出,265.89,228887.2
